GAME_ID,LAST_GAME_ID,LAST_GAME_DATE_EST,LAST_GAME_HOME_TEAM_ID,LAST_GAME_HOME_TEAM_CITY,LAST_GAME_HOME_TEAM_NAME,LAST_GAME_HOME_TEAM_ABBREVIATION,LAST_GAME_HOME_TEAM_POINTS,LAST_GAME_VISITOR_TEAM_ID,LAST_GAME_VISITOR_TEAM_CITY,LAST_GAME_VISITOR_TEAM_NAME,LAST_GAME_VISITOR_TEAM_CITY1,LAST_GAME_VISITOR_TEAM_POINTS
22200250,22200124,2022-11-04T00:00:00,1610612741,Chicago,Bulls,CHI,119,1610612738,Boston,Celtics,BOS,123
22200251,22100862,2022-02-14T00:00:00,1610612749,Milwaukee,Bucks,MIL,107,1610612757,Portland,Trail Blazers,POR,122
22200252,12200015,2022-10-04T00:00:00,1610612750,Minnesota,Timberwolves,MIN,121,1610612748,Miami,Heat,MIA,111
22200253,22200128,2022-11-04T00:00:00,1610612740,New Orleans,Pelicans,NOP,114,1610612744,Golden State,Warriors,GSW,105
22200254,22200192,2022-11-13T00:00:00,1610612760,Oklahoma City,Thunder,OKC,145,1610612752,New York,Knicks,NYK,135
22200255,22200143,2022-11-06T00:00:00,1610612746,LA,Clippers,LAC,102,1610612762,Utah,Jazz,UTA,110
22200256,12200009,2022-10-03T00:00:00,1610612755,Philadelphia,76ers,PHI,127,1610612751,Brooklyn,Nets,BKN,108
22200257,22200069,2022-10-27T00:00:00,1610612763,Memphis,Grizzlies,MEM,125,1610612758,Sacramento,Kings,SAC,110
22200258,22100714,2022-01-25T00:00:00,1610612743,Denver,Nuggets,DEN,110,1610612765,Detroit,Pistons,DET,105
22200259,12200022,2022-10-05T00:00:00,1610612756,Phoenix,Suns,PHX,119,1610612747,Los Angeles,Lakers,LAL,115
22200260,12200054,2022-10-12T00:00:00,1610612766,Charlotte,Hornets,CHA,94,1610612755,Philadelphia,76ers,PHI,99
22200261,22100590,2022-01-07T00:00:00,1610612739,Cleveland,Cavaliers,CLE,114,1610612757,Portland,Trail Blazers,POR,101
22200262,22100857,2022-02-13T00:00:00,1610612754,Indiana,Pacers,IND,120,1610612750,Minnesota,Timberwolves,MIN,129
22200421,22101136,2022-03-30T00:00:00,1610612742,Dallas,Mavericks,DAL,120,1610612739,Cleveland,Cavaliers,CLE,112
22200422,22101035,2022-03-16T00:00:00,1610612743,Denver,Nuggets,DEN,127,1610612764,Washington,Wizards,WAS,109
22200423,12200042,2022-10-09T00:00:00,1610612746,LA,Clippers,LAC,117,1610612750,Minnesota,Timberwolves,MIN,119
22200424,12200045,2022-10-10T00:00:00,1610612745,Houston,Rockets,HOU,110,1610612748,Miami,Heat,MIA,118
22200425,12200003,2022-10-01T00:00:00,1610612763,Memphis,Grizzlies,MEM,107,1610612749,Milwaukee,Bucks,MIL,102
22200426,22200412,2022-12-13T00:00:00,1610612762,Utah,Jazz,UTA,121,1610612740,New Orleans,Pelicans,NOP,100
22200427,22200043,2022-10-23T00:00:00,1610612746,LA,Clippers,LAC,95,1610612756,Phoenix,Suns,PHX,112
22200428,22200038,2022-10-23T00:00:00,1610612766,Charlotte,Hornets,CHA,126,1610612737,Atlanta,Hawks,ATL,109
22200429,22200242,2022-11-20T00:00:00,1610612765,Detroit,Pistons,DET,129,1610612758,Sacramento,Kings,SAC,137
22200430,22200030,2022-10-22T00:00:00,1610612738,Boston,Celtics,BOS,126,1610612753,Orlando,Magic,ORL,120
22200431,22100976,2022-03-08T00:00:00,1610612739,Cleveland,Cavaliers,CLE,127,1610612754,Indiana,Pacers,IND,124
22200432,22100396,2021-12-11T00:00:00,1610612755,Philadelphia,76ers,PHI,102,1610612744,Golden State,Warriors,GSW,93
22200433,22200329,2022-12-02T00:00:00,1610612761,Toronto,Raptors,TOR,105,1610612751,Brooklyn,Nets,BKN,114
22200434,22200418,2022-12-14T00:00:00,1610612741,Chicago,Bulls,CHI,120,1610612752,New York,Knicks,NYK,128
22200435,22200341,2022-12-03T00:00:00,1610612760,Oklahoma City,Thunder,OKC,135,1610612750,Minnesota,Timberwolves,MIN,128
22200436,22200190,2022-11-12T00:00:00,1610612742,Dallas,Mavericks,DAL,117,1610612757,Portland,Trail Blazers,POR,112
22200437,22200095,2022-10-30T00:00:00,1610612747,Los Angeles,Lakers,LAL,121,1610612743,Denver,Nuggets,DEN,110
22200438,22200389,2022-12-10T00:00:00,1610612746,LA,Clippers,LAC,114,1610612764,Washington,Wizards,WAS,107
22200439,22200387,2022-12-10T00:00:00,1610612759,San Antonio,Spurs,SAS,115,1610612748,Miami,Heat,MIA,111
22200440,22200421,2022-12-14T00:00:00,1610612739,Cleveland,Cavaliers,CLE,105,1610612742,Dallas,Mavericks,DAL,90
22200441,22200080,2022-10-28T00:00:00,1610612745,Houston,Rockets,HOU,111,1610612757,Portland,Trail Blazers,POR,125
22200442,22101027,2022-03-14T00:00:00,1610612749,Milwaukee,Bucks,MIL,117,1610612762,Utah,Jazz,UTA,111
22200443,22200368,2022-12-07T00:00:00,1610612760,Oklahoma City,Thunder,OKC,102,1610612763,Memphis,Grizzlies,MEM,123
22200444,22200395,2022-12-11T00:00:00,1610612756,Phoenix,Suns,PHX,124,1610612740,New Orleans,Pelicans,NOP,129
22200445,22200430,2022-12-16T00:00:00,1610612738,Boston,Celtics,BOS,109,1610612753,Orlando,Magic,ORL,117
22200446,12200053,2022-10-12T00:00:00,1610612754,Indiana,Pacers,IND,109,1610612752,New York,Knicks,NYK,100
22200447,22101133,2022-03-29T00:00:00,1610612765,Detroit,Pistons,DET,123,1610612751,Brooklyn,Nets,BKN,130
22200448,22100443,2021-12-18T00:00:00,1610612761,Toronto,Raptors,TOR,119,1610612744,Golden State,Warriors,GSW,100
22200449,22101224,2022-04-10T00:00:00,1610612750,Minnesota,Timberwolves,MIN,120,1610612741,Chicago,Bulls,CHI,124
22200450,22101122,2022-03-28T00:00:00,1610612743,Denver,Nuggets,DEN,113,1610612766,Charlotte,Hornets,CHA,109
22200451,22200349,2022-12-04T00:00:00,1610612747,Los Angeles,Lakers,LAL,130,1610612764,Washington,Wizards,WAS,119
22200452,22100624,2022-01-12T00:00:00,1610612739,Cleveland,Cavaliers,CLE,111,1610612762,Utah,Jazz,UTA,91
22200453,22200073,2022-10-28T00:00:00,1610612755,Philadelphia,76ers,PHI,112,1610612761,Toronto,Raptors,TOR,90
22200454,22200416,2022-12-14T00:00:00,1610612737,Atlanta,Hawks,ATL,124,1610612753,Orlando,Magic,ORL,135
22200455,22200375,2022-12-08T00:00:00,1610612745,Houston,Rockets,HOU,109,1610612759,San Antonio,Spurs,SAS,118
22200456,22101104,2022-03-25T00:00:00,1610612750,Minnesota,Timberwolves,MIN,116,1610612742,Dallas,Mavericks,DAL,95
